City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
232,San Policarpo,PH,2022-05-07 22:06:40,12.1791,125.5072,81.25,82,53,12.73,broken clouds
233,Axim,GH,2022-05-07 22:06:41,4.8699,-2.2405,81.45,81,90,6.89,overcast clouds
234,Sumenep,ID,2022-05-07 22:06:42,-7.0167,113.8667,80.96,84,86,6.42,overcast clouds
235,Taoudenni,ML,2022-05-07 22:06:42,22.6783,-3.9836,87.85,10,0,11.65,clear sky
236,Hanstholm,DK,2022-05-07 22:06:43,57.1167,8.6167,44.62,71,15,22.91,few clouds
237,Port Blair,IN,2022-05-07 22:06:43,11.6667,92.75,84.24,79,75,12.66,mist
238,Vila Velha,BR,2022-05-07 22:06:43,-20.3297,-40.2925,75.15,83,75,10.36,broken clouds
239,Tessalit,ML,2022-05-07 22:02:16,20.1986,1.0114,85.82,12,44,13.78,scattered clouds
240,Sesvete,HR,2022-05-07 22:06:44,45.8311,16.1164,59.67,84,0,3.44,clear sky
241,Lubao,PH,2022-05-07 22:06:45,14.9167,120.55,82.47,81,99,5.1,overcast clouds
242,Mogadishu,SO,2022-05-07 22:06:46,2.0371,45.3438,81.99,81,75,15.9,broken clouds
243,Ambanja,MG,2022-05-07 22:06:46,-13.6833,48.45,74.5,87,9,3.42,clear sky
244,Voyvozh,RU,2022-05-07 22:06:47,62.892,54.9635,41.23,90,94,6.85,overcast clouds
245,Trelew,AR,2022-05-07 22:06:47,-43.249,-65.3051,74.17,31,39,6.02,scattered clouds
246,Talcahuano,CL,2022-05-07 22:06:48,-36.7167,-73.1167,55.08,94,0,9.22,clear sky
247,East London,ZA,2022-05-07 22:06:49,-33.0153,27.9116,62.53,90,100,14.9,heavy intensity rain
248,Korla,CN,2022-05-07 22:06:49,41.7597,86.1469,71.83,40,71,12.88,broken clouds
249,Santiago Del Estero,AR,2022-05-07 22:06:50,-27.7951,-64.2615,74.23,47,98,6.71,overcast clouds
250,Kieta,PG,2022-05-07 22:06:51,-6.2167,155.6333,82.94,75,52,2.66,broken clouds
251,Adre,TD,2022-05-07 22:06:51,13.4667,22.2,83.01,15,99,3.44,overcast clouds
252,Juliaca,PE,2022-05-07 22:06:52,-15.5,-70.1333,50.07,53,43,8.59,scattered clouds
253,Puro,PH,2022-05-07 22:06:52,12.4841,123.3827,80.82,83,13,10.89,few clouds
254,Roald,NO,2022-05-07 22:06:53,62.5833,6.1333,41.9,81,75,12.66,broken clouds
255,Usmajac,MX,2022-05-07 22:06:54,19.8667,-103.5667,95.56,16,48,5.21,scattered clouds
256,Emerald,AU,2022-05-07 22:03:07,-23.5333,148.1667,57.34,64,70,17.69,broken clouds
257,Marsh Harbour,BS,2022-05-07 22:05:43,26.5412,-77.0636,81.09,65,26,15.43,scattered clouds
258,Perbaungan,ID,2022-05-07 22:06:55,3.5679,98.956,76.57,85,100,4.23,light rain
